experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E0,val,50m,2353,2089737,3132197,52288446,888.1,0.9615703047672612,0.9434832071508068,0.9092001478689571,0.9524408940401594,0.9524408940401594
E0,val,70m,2922,2011437,5490332,35617169,688.4,0.9465450035539427,0.8664396553806546,0.8260214803991676,0.9047226325274109,0.9047226325274109
E0,val,90m,3854,2252438,3375919,52877392,584.4,0.9591430265611177,0.9399871947093018,0.9037982233164797,0.9494685017008085,0.9494685017008085
E1,val,50m,2353,1973830,3251746,52168897,838.9,0.9635439493101244,0.9413260867435246,0.908953323780844,0.9523054466104858,0.9523054466104858
E1,val,70m,2922,1880371,5542481,35565020,643.5,0.9497836462703757,0.8651710547911905,0.8273268330193204,0.9055050449320173,0.9055050449320173
E1,val,90m,3854,2146662,3533956,52719355,557.0,0.960874469892719,0.9371778134090616,0.9027290988644792,0.9488782185579803,0.9488782185579803
E2,val,50m,2353,1934640,3346403,52074240,822.2,0.9641792238609633,0.939618113055814,0.9079240355243284,0.9517402355852351,0.9517402355852351
E2,val,70m,2922,1941781,5662040,35445461,664.5,0.948063005021871,0.862262607498323,0.8233693885997895,0.9031295509815213,0.9031295509815213
E2,val,90m,3854,2203012,3595678,52657633,571.6,0.9598434907208967,0.9360805979935991,0.9008030320347025,0.9478131261927161,0.9478131261927161
E5,val,50m,2353,1900907,3363662,52056981,807.9,0.9647705447626101,0.9393066947996238,0.9081572462712525,0.9518683515689189,0.9518683515689189
E5,val,70m,2922,1938006,5490174,35617327,663.2,0.9483959841335958,0.8664434989614163,0.8274342546366087,0.9055693823591444,0.9055693823591444
E5,val,90m,3854,2167616,3370407,52882904,562.4,0.9606249677568878,0.9400851800527779,0.9052048078593465,0.9502440935748195,0.9502440935748195
E7,val,50m,2353,4,53,55420590,0.0,0.9999999278246622,0.9999990436776401,0.9999989715024421,0.9999994857509565,0.9999994857509565
E7,val,70m,2922,32,77,41107424,0.0,0.999999221552409,0.9999981268625379,0.9999973484178655,0.9999986742071749,0.9999986742071749
E7,val,90m,3854,37,103,56253208,0.0,0.9999993422601647,0.999998168996664,0.9999975112592392,0.9999987556280711,0.9999987556280711
E5_OOF,val,50m,2353,2136133,2950315,52470328,907.8,0.9608813140261901,0.9467650528702799,0.9116272947602192,0.9537709544731805,0.9537709544731805
E5_OOF,val,70m,2922,2308879,5054002,36053499,790.2,0.9398139760783315,0.877054019897729,0.8304123697093106,0.9073500413911528,0.9073500413911528
E5_OOF,val,90m,3854,2509822,3017953,53235358,651.2,0.9549768787184812,0.9463506601415854,0.9059312409363863,0.9506442010901728,0.9506442010901728
E0,val,50m,2353,2119890,3029970,52390673,900.9,0.9611104732123186,0.9453277725413599,0.9105003076700716,0.9531537932914145,0.9531537932914145
E0,val,70m,2922,2131046,5324914,35782587,729.3,0.9437920918842019,0.8704636898263389,0.8275621981469433,0.9056460009799392,0.9056460009799392
E0,val,90m,3854,2333379,3219844,53033467,605.4,0.9578560245241332,0.9427616980625355,0.9052135732535822,0.9502489232298778,0.9502489232298778
E5,val,50m,2353,1927608,3198443,52222200,819.2,0.9644023114541774,0.9422878763784807,0.9106153908686755,0.9532168485826521,0.9532168485826521
E5,val,70m,2922,2042956,5314742,35792759,699.2,0.9460045620916615,0.8707111385827107,0.8294873678858122,0.9067975898017622,0.9067975898017622
