experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E0,val,empty,364,62446,0,0,171.6,0.0,0.0,0.0,0.0,0.0
E0,val,medium,5307,5424440,10630077,125976283,1022.1,0.958718339776562,0.9221846113167785,0.8869645386775257,0.9400966690122884,0.9400966690122884
E0,val,small,3228,852871,1338927,14716443,264.2,0.945221029006153,0.9166056590411749,0.8703710220359357,0.9306934418696454,0.9306934418696454
E0,val,tiny,230,13855,29444,90281,60.2,0.8669528309125883,0.7540697431607817,0.6758571642456387,0.806580869378406,0.806580869378406
E1,val,empty,364,34511,0,0,94.8,0.0,0.0,0.0,0.0,0.0
E1,val,medium,5307,5177181,10922069,125684291,975.5,0.9604376985763992,0.9200471412897607,0.8864519119324289,0.9398086495874387,0.9398086495874387
E1,val,small,3228,775832,1374680,14680690,240.3,0.9498055254603788,0.9143788028553629,0.8722306345084512,0.9317555416856566,0.9317555416856566
E1,val,tiny,230,13339,31434,88291,58.0,0.8687493850232523,0.737448319063907,0.6635228160880001,0.7977321497138995,0.7977321497138995
E2,val,empty,364,27561,0,0,75.7,0.0,0.0,0.0,0.0,0.0
E2,val,medium,5307,5220493,11185334,125421026,983.7,0.9600395567966405,0.9181199616181847,0.8843249592515454,0.9386119468510353,0.9386119468510353
E2,val,small,3228,817054,1387856,14667514,253.1,0.9472343045023862,0.9135581428518874,0.8693187179269507,0.930091492253406,0.930091492253406
E2,val,tiny,230,14325,30931,88794,62.3,0.8610828266363512,0.7416496136974385,0.6623946288693305,0.7969162283925989,0.7969162283925989
E5,val,empty,364,34755,0,0,95.5,0.0,0.0,0.0,0.0,0.0
E5,val,medium,5307,5115264,10878265,125728095,963.9,0.9609054365533363,0.920367799859391,0.8871482802088122,0.9401998661288551,0.9401998661288551
E5,val,small,3228,843357,1320060,14735310,261.3,0.9458646237190836,0.9177807798885923,0.8719775164129175,0.9316110997783782,0.9316110997783782
E5,val,tiny,230,13153,25918,93807,57.2,0.8770287958106984,0.7835205679676062,0.7059633648905719,0.8276418819062454,0.8276418819062454
E7,val,empty,364,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
E7,val,medium,5307,65,196,136606164,0.0,0.9999995241798229,0.9999985652205352,0.9999980894017241,0.9999990446999493,0.9999990446999493
E7,val,small,3228,6,34,16055336,0.0,0.9999996262926009,0.9999978823284608,0.9999975086226507,0.9999987543097736,0.9999987543097736
E7,val,tiny,230,2,3,119722,0.0,0.9999832949107949,0.9999749425759031,0.9999582383246887,0.9999791187263258,0.9999791187263258
E5_OOF,val,empty,364,37974,0,0,104.3,0.0,0.0,0.0,0.0,0.0
E5_OOF,val,medium,5307,5955919,9833808,126772552,1122.3,0.955127042787978,0.9280135419756439,0.8892433039738368,0.9413751019822605,0.9413751019822605
E5_OOF,val,small,3228,943891,1163646,14891724,292.4,0.9403944210565807,0.927522940922564,0.876021845890825,0.9339143334707255,0.9339143334707255
E5_OOF,val,tiny,230,17050,24816,94909,74.1,0.8477121088962498,0.7927249947790413,0.6939060500817446,0.8192969734635023,0.8192969734635023
E0,val,empty,364,64303,0,0,176.7,0.0,0.0,0.0,0.0,0.0
E0,val,medium,5307,5603396,10267417,126338943,1055.9,0.9575314789591528,0.9248393925436554,0.888398563879119,0.9409015457565106,0.9409015457565106
E0,val,small,3228,900602,1279019,14776351,279.0,0.9425524845293537,0.920336996282235,0.8714540811933349,0.931312277389837,0.931312277389837
E0,val,tiny,230,16014,28292,91433,69.6,0.8509590774978818,0.7636917936932439,0.6735941770598917,0.8049671614455985,0.8049671614455985
E5,val,empty,364,32301,0,0,88.7,0.0,0.0,0.0,0.0,0.0
E5,val,medium,5307,5250772,10519380,126086980,989.4,0.960020847623461,0.9229949469409764,0.8888307427503886,0.9411438755556604,0.9411438755556604
E5,val,small,3228,864895,1253020,14802350,267.9,0.9447959740209529,0.9219563298759174,0.8748296790859902,0.9332364308553979,0.9332364308553979
E5,val,tiny,230,13295,25392,94333,57.8,0.8764726651049202,0.7879139695128102,0.7091640354828528,0.8298373014647575,0.8298373014647575
E1,val,empty,364,29462,0,0,80.9,0.0,0.0,0.0,0.0,0.0
E1,val,medium,5307,5510964,10356800,126249560,1038.4,0.9581743922026289,0.9241850818658803,0.8883474332798437,0.9408728686509619,0.9408728686509619
E1,val,small,3228,853087,1281239,14774131,264.3,0.9454101811339616,0.9201987247880247,0.8737716871503953,0.9326341017343629,0.9326341017343629
E1,val,tiny,230,13520,30965,88760,58.8,0.8678138443479978,0.7413656295671402,0.6661413186230882,0.799621630143105,0.799621630143105
E2,val,empty,364,28028,0,0,77.0,0.0,0.0,0.0,0.0,0.0
E2,val,medium,5307,5633859,10505297,126101063,1061.6,0.9572333674741151,0.9230980387735968,0.8865359171023206,0.9398558586300557,0.9398558586300557
E2,val,small,3228,902890,1270379,14784991,279.7,0.9424466567537009,0.920875133989432,0.8718459912750431,0.9315360295011972,0.9315360295011972
E2,val,tiny,230,14788,29971,89754,64.3,0.8585448910477526,0.7496679891411571,0.6672514924203109,0.8004209268413095,0.8004209268413095
E7,val,empty,364,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
E7,val,medium,5307,71,171,136606189,0.0,0.9999994802580783,0.99999874822812,0.9999982284875001,0.9999991142429654,0.9999991142429654
E7,val,small,3228,4,33,16055337,0.0,0.9999997508617163,0.9999979446129177,0.9999976954756644,0.9999988477365045,0.9999988477365045
E7,val,tiny,230,2,3,119722,0.0,0.9999832949107949,0.9999749425759031,0.9999582383246887,0.9999791187263258,0.9999791187263258
E5_OOF,val,empty,364,41950,0,0,115.2,0.0,0.0,0.0,0.0,0.0
E5_OOF,val,medium,5307,5764265,10170700,126435660,1086.2,0.9563973655809556,0.925547390326482,0.8880740672452616,0.940719522238849,0.940719522238849
E5_OOF,val,small,3228,885234,1213865,14841505,274.2,0.9437115348579197,0.9243950777839381,0.8760906635914464,0.9339534390244495,0.9339534390244495
E5_OOF,val,tiny,230,17820,23860,95865,77.5,0.8432510885333656,0.8007099603250777,0.6969719001049133,0.8214301015377141,0.8214301015377141
E6,val,empty,364,26006,0,0,71.4,0.0,0.0,0.0,0.0,0.0
E6,val,medium,5307,5365438,10164387,126441973,1011.0,0.9592933511151349,0.9255936034017737,0.8906133103984492,0.9421422196702416,0.9421422196702416
E6,val,small,3228,829215,1240484,14814886,256.9,0.946995036659499,0.9227371278270079,0.8774207953586014,0.9347087211644606,0.9347087211644606
E6,val,tiny,230,15295,23728,95997,66.5,0.8625687380936072,0.801812486948589,0.7109835579908821,0.8310816952861343,0.8310816952861343
E6,val,empty,364,26011,0,0,71.5,0.0,0.0,0.0,0.0,0.0
E6,val,medium,5307,5365373,10164412,126441948,1011.0,0.959293816464109,0.9255934203941889,0.890613542063334,0.9421423492940358,0.9421423492940358
E6,val,small,3228,829243,1240497,14814873,256.9,0.9469932976717831,0.9227363181290688,0.8774185703871277,0.9347074586635223,0.9347074586635223
E6,val,tiny,230,15296,23730,95995,66.5,0.862558517758972,0.8017957819997479,0.7109634797544745,0.8310679779751917,0.8310679779751917
E8,val,empty,364,21836,0,0,60.0,0.0,0.0,0.0,0.0,0.0
E8,val,medium,5307,5694494,10194513,126411847,1073.0,0.9568946202211437,0.9253730719418914,0.8883421528868682,0.9408699070015298,0.9408699070015298
E8,val,small,3228,872863,1184804,14870566,270.4,0.9445569958107541,0.9262051263844998,0.8784476206110768,0.9352910466838671,0.9352910466838671
E8,val,tiny,230,18091,25104,94621,78.7,0.839493576548336,0.7903194821459258,0.6865748534272605,0.8141646983910418,0.8141646983910418
E10,val,empty,364,28106,0,0,77.2,0.0,0.0,0.0,0.0,0.0
E10,val,medium,5307,5288529,10303237,126303123,996.5,0.9598110600511338,0.924577179276279,0.8901174939429983,0.9418647219502877,0.9418647219502877
E10,val,small,3228,813770,1200472,14854898,252.1,0.9480638686070766,0.9252292535145504,0.8805960469828285,0.9365073891287076,0.9365073891287076
E10,val,tiny,230,14337,23753,95972,62.3,0.8700287374549039,0.8016036750880755,0.7158777282147694,0.8344157820144699,0.8344157820144699
E9,val,empty,364,57031,0,0,156.7,0.0,0.0,0.0,0.0,0.0
E9,val,medium,5307,5418777,10233641,126372719,1021.1,0.9588837128004063,0.9250866431109058,0.8897912135089151,0.9416820304257569,0.9416820304257569
E9,val,small,3228,829334,1217266,14838104,256.9,0.9470663933694778,0.9241832483461861,0.8787897022062046,0.9354849041106293,0.9354849041106293
E9,val,tiny,230,12428,24045,95680,54.0,0.8850408850400664,0.7991647525572778,0.7240092922591814,0.8399134453740942,0.8399134453740942
E11,val,empty,364,25035,0,0,68.8,0.0,0.0,0.0,0.0,0.0
E11,val,medium,5307,5047957,10481889,126124471,951.2,0.9615166306138657,0.923269392435315,0.8903680005742425,0.9420049432742966,0.9420049432742966
E11,val,small,3228,796047,1267739,14787631,246.6,0.9489178998693315,0.92103956495552,0.8775304177684233,0.9347709197824128,0.9347709197824128
E11,val,tiny,230,12070,30270,89455,52.5,0.8811130263473222,0.7471705992894156,0.6787435031672835,0.8086327683612164,0.8086327683612164
E11,val,empty,364,20778,0,0,57.1,0.0,0.0,0.0,0.0,0.0
E11,val,medium,5307,5224517,10212681,126393679,984.5,0.9603055112531698,0.9252400766699289,0.8911577060896262,0.9424467385454445,0.9424467385454445
E11,val,small,3228,809435,1221686,14833684,250.8,0.9482561629813022,0.9239079510469025,0.879564513197746,0.9359237280994658,0.9359237280994658
E11,val,tiny,230,13362,24991,94734,58.1,0.876387655416596,0.7912633117554468,0.7118200876113281,0.8316529204942338,0.8316529204942338
E12,val,empty,364,26543,0,0,72.9,0.0,0.0,0.0,0.0,0.0
E12,val,medium,5307,5336999,9886736,126719624,1005.7,0.9595855256725738,0.9276260929578968,0.8927478178109053,0.9433351970189354,0.9433351970189354
E12,val,small,3228,880788,1135732,14919638,272.9,0.9442554270372143,0.929261549251117,0.8809340347438841,0.9366984896563221,0.9366984896563221
E12,val,tiny,230,19088,23256,96469,83.0,0.8348174493965447,0.8057548548750839,0.6949565242443467,0.8200287314793226,0.8200287314793226
E14,val,empty,364,31611,0,0,86.8,0.0,0.0,0.0,0.0,0.0
E14,val,medium,5307,5201079,10633144,125973216,980.0,0.9603498612285273,0.9221621599462859,0.8883399692451954,0.9408686822429346,0.9408686822429346
E14,val,small,3228,797087,1287911,14767459,246.9,0.9487882910301337,0.9197831628919114,0.8762792867532557,0.9340606091426652,0.9340606091426652
E14,val,tiny,230,13121,29823,89902,57.0,0.8726400900761261,0.750904155355397,0.6767384791407519,0.8072081455273191,0.8072081455273191
E13,val,empty,364,29830,0,0,82.0,0.0,0.0,0.0,0.0,0.0
E13,val,medium,5307,5341563,10228816,126377544,1006.5,0.9594473184516799,0.9251219635747554,0.8903092157255441,0.9419720417369102,0.9419720417369102
E13,val,small,3228,879512,1212469,14842901,272.5,0.944059986212034,0.9244820268857028,0.876469112687051,0.9341684408884001,0.9341684408884001
E13,val,tiny,230,20999,23344,96381,91.3,0.82110240245287,0.8050198371260764,0.6848938347398561,0.8129815904342746,0.8129815904342746
E13b,val,empty,364,14737,0,0,40.5,0.0,0.0,0.0,0.0,0.0
E13b,val,medium,5307,5292906,10289456,126316904,997.3,0.9597833474571531,0.9246780603772761,0.8901871557249628,0.9419037189293991,0.9419037189293991
E13b,val,small,3228,830454,1222784,14832586,257.3,0.9469800243120049,0.9238395627132795,0.878404631008822,0.9352666795088375,0.9352666795088375
E13b,val,tiny,230,15442,28184,91541,67.1,0.8556593103569206,0.7645938609306623,0.6772437059336397,0.8075674435834609,0.8075674435834609
E16,val,empty,364,9619,0,0,26.4,0.0,0.0,0.0,0.0,0.0
E16,val,medium,5307,4610148,19867250,116739110,868.7,0.96200926090541,0.8545657025046266,0.8266675876165974,0.9051100410614042,0.9051100410614042
E16,val,small,3228,634886,2775367,13280003,196.7,0.9543736209465921,0.827137773841395,0.7956740148263706,0.8862120944633782,0.8862120944633782
E16,val,tiny,230,8365,74022,45703,36.4,0.8452874158451481,0.3817331384419447,0.3568038098209409,0.5259475352859286,0.5259475352859286
E18,val,empty,364,68615,0,0,188.5,0.0,0.0,0.0,0.0,0.0
E18,val,medium,5307,6065733,16644778,119961582,1143.0,0.9518696958671213,0.8781551752056048,0.8408202296436481,0.9135278025561646,0.9135278025561646
E18,val,small,3228,1009268,2044468,14010902,312.7,0.9328058204401086,0.8726614210697051,0.8210488848342354,0.9017318444023792,0.9017318444023792
E18,val,tiny,230,23674,50504,69221,102.9,0.7451531298770169,0.578166631864207,0.4827160579916996,0.6511240711124772,0.6511240711124772
E16,val,empty,364,9619,0,0,26.4,0.0,0.0,0.0,0.0,0.0
E16,val,medium,5307,4610197,19866895,116739465,868.7,0.9620089835932126,0.8545683012123295,0.8266698146450343,0.9051113759228304,0.9051113759228304
E16,val,small,3228,634881,2775381,13279989,196.7,0.9543739179740741,0.827136901858999,0.7956734143782451,0.886211722028249,0.886211722028249
E16,val,tiny,230,8365,74024,45701,36.4,0.8452816927443397,0.3817164334931036,0.3567881957995497,0.5259305717784432,0.5259305717784432
E17,val,empty,364,36299,0,0,99.7,0.0,0.0,0.0,0.0,0.0
E17,val,medium,5307,5494767,10253064,126353296,1035.4,0.9583250077780809,0.9249444608581908,0.8891787044025339,0.9413389028051137,0.9413389028051137
E17,val,small,3228,890698,1205329,14850041,275.9,0.9434144737423005,0.9249267379076226,0.8763118972495515,0.9340791352803548,0.9340791352803548
E17,val,tiny,230,14759,24031,95694,64.2,0.8663775542530612,0.7992816871991654,0.7115642009453084,0.8314782472691432,0.8314782472691432
E16,val,empty,364,25256,0,0,69.4,0.0,0.0,0.0,0.0,0.0
E16,val,medium,5307,5808880,8919583,127686777,1094.6,0.9564863746840836,0.9347059463410043,0.8965808504763951,0.945470740412871,0.945470740412871
E16,val,small,3228,897681,1037614,15017756,278.1,0.9435968362037376,0.9353727755884732,0.8858438519414535,0.9394668079538907,0.9394668079538907
E16,val,tiny,230,14448,21862,97863,62.8,0.8713572134511567,0.8173982042173168,0.7293792342716274,0.8435156613625284,0.8435156613625284
E12,val,empty,364,21450,0,0,58.9,0.0,0.0,0.0,0.0,0.0
E12,val,medium,5307,5657759,9057460,127548900,1066.1,0.9575264551902011,0.9336966448707067,0.8965640872523867,0.9454614197100693,0.9454614197100693
