experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E0,val,empty@50m,119,49798,0,0,418.5,0.0,0.0,0.0,0.0,0.0
E0,val,empty@70m,141,9446,0,0,67.0,0.0,0.0,0.0,0.0,0.0
E0,val,empty@90m,104,3202,0,0,30.8,0.0,0.0,0.0,0.0,0.0
E0,val,medium@50m,1510,1860598,2823394,49038771,1232.2,0.9634455586276504,0.9455596579895943,0.912811781478922,0.9544188197891236,0.9544188197891236
E0,val,medium@70m,1462,1610311,4867928,30327319,1101.4,0.9495795085609015,0.8616879148482725,0.8239874803691312,0.903501245745805,0.903501245745805
E0,val,medium@90m,2335,1953531,2938755,46610193,836.6,0.9597738633058681,0.9406898608624327,0.9050087278323032,0.9501360435887415,0.9501360435887415
E0,val,small@50m,667,177151,299418,3233124,265.6,0.9480537493310378,0.9152400735787171,0.8715341134697434,0.9313579776047543,0.9313579776047543
E0,val,small@70m,1242,388234,609035,5263862,312.6,0.9313114993092664,0.8962973469481775,0.8407206301864497,0.9134690146883306,0.9134690146883306
E0,val,small@90m,1319,287486,430474,6219457,218.0,0.9558185771720922,0.9352663959971775,0.8965090321080469,0.9454308067402565,0.9454308067402565
E0,val,tiny@50m,57,2190,9385,16551,38.4,0.8831439090716443,0.6381477483010558,0.588459077008503,0.7409181458004321,0.7409181458004321
E0,val,tiny@70m,77,3446,13369,25988,44.8,0.8829245090681426,0.6603145564939901,0.607153704178195,0.7555639545859842,0.7555639545859842
E0,val,tiny@90m,96,8219,6690,47742,85.6,0.8531298582926446,0.8770943562594116,0.7620309332640148,0.8649461469469396,0.8649461469469396
E1,val,empty@50m,119,18369,0,0,154.4,0.0,0.0,0.0,0.0,0.0
E1,val,empty@70m,141,8822,0,0,62.6,0.0,0.0,0.0,0.0,0.0
E1,val,empty@90m,104,7320,0,0,70.4,0.0,0.0,0.0,0.0,0.0
E1,val,medium@50m,1510,1787579,2952284,48909881,1183.8,0.9647402650941469,0.9430744165809489,0.9116517126344519,0.9537843181466381,0.9537843181466381
E1,val,medium@70m,1462,1525194,4910816,30284431,1043.2,0.9520524369589363,0.8604693412153044,0.8247295014784796,0.9039471338740848,0.9039471338740848
E1,val,medium@90m,2335,1864408,3058969,46489979,798.5,0.961442836613768,0.9382636943169794,0.9042393381206221,0.9497118560874346,0.9497118560874346
E1,val,small@50m,667,166567,290739,3241803,249.7,0.9511300122932383,0.9176969445798261,0.8763740133096679,0.9341144218511784,0.9341144218511784
E1,val,small@70m,1242,342927,617033,5255864,276.1,0.9387498122362321,0.8949354977619922,0.8455619078017518,0.9163192025445521,0.9163192025445521
E1,val,small@90m,1319,266338,466908,6183023,201.9,0.9587031955568783,0.9297875421564386,0.8939824347491272,0.944023997632842,0.944023997632842
E1,val,tiny@50m,57,1315,8723,17213,23.1,0.9290263385096663,0.6636721159752326,0.6316465450785965,0.7742443324919615,0.7742443324919615
E1,val,tiny@70m,77,3428,14632,24725,44.5,0.8782367776049507,0.6282236959101857,0.5778894472348303,0.7324840764320361,0.7324840764320361
E1,val,tiny@90m,96,8596,8079,46353,89.5,0.8435640321009599,0.8515762786580475,0.7354350447408525,0.8475512200465826,0.8475512200465826
E2,val,empty@50m,119,15010,0,0,126.1,0.0,0.0,0.0,0.0,0.0
E2,val,empty@70m,141,3910,0,0,27.7,0.0,0.0,0.0,0.0,0.0
E2,val,empty@90m,104,8641,0,0,83.1,0.0,0.0,0.0,0.0,0.0
