experiment,split,precision,recall,iou,dice,f1,iou_macro,dice_macro,n_patches,params,fps,flops
E0,val,0.954246,0.924134,0.886096,0.936747,0.936747,0.842035,0.888512,9129,14834121,189.11,
E1,val,0.956591,0.922731,0.886593,0.937321,0.937321,0.841731,0.88845,9129,14837257,145.3,
E2,val,0.955492,0.92046,0.883785,0.935468,0.935468,0.839481,0.886725,9129,14837257,211.53,
E5,val,0.955644,0.924217,0.887269,0.937406,0.937406,0.844886,0.890662,9129,14837257,158.81,
E7,val,0.999999,0.999998,0.999998,0.999999,0.999999,0.960124,0.960125,9129,14837257,222.05,
E5_OOF,val,0.949871,0.932822,0.890365,0.939824,0.939824,0.847266,0.8923,9129,14837257,320.04,
E0,val,0.952908,0.927904,0.888476,0.938683,0.938683,0.84369,0.889564,9129,14834121,316.18,
E5,val,0.954921,0.927465,0.889863,0.939483,0.939483,0.846897,0.892182,9129,14837257,305.64,
E1,val,0.95398,0.927751,0.889075,0.939211,0.939211,0.843676,0.889804,9129,14837257,327.34,
E2,val,0.952627,0.926445,0.886869,0.937798,0.937798,0.842218,0.888672,9129,14837257,309.21,
E7,val,0.999999,0.999998,0.999998,0.999999,0.999999,0.960124,0.960125,9129,14837257,349.44,
E5_OOF,val,0.952099,0.929517,0.889026,0.938979,0.938979,0.846401,0.891848,9129,14837257,252.97,
E6,val,0.955094,0.929509,0.891628,0.940526,0.940526,0.848083,0.892636,9129,14837257,194.55,
E6,val,0.955094,0.929509,0.891628,0.940526,0.940526,0.848083,0.892636,9129,14837257,348.44,
E8,val,0.952598,0.929996,0.890024,0.939604,0.939604,0.847074,0.892313,9129,14837257,533.33,
E10,val,0.955855,0.928961,0.891779,0.94053,0.94053,0.850025,0.894463,9129,14837257,250.05,
E9,val,0.954582,0.92933,0.8912,0.940226,0.940226,0.848712,0.893354,9129,14837257,570.1,
E11,val,0.957222,0.926617,0.890909,0.940064,0.940064,0.846853,0.891248,9129,14837257,575.31,
E11,val,0.955908,0.929711,0.892654,0.941147,0.941147,0.849713,0.894276,9129,14837257,367.2,
E12,val,0.954261,0.93252,0.893853,0.94179,0.94179,0.851539,0.895262,9129,14837257,547.03,
E14,val,0.956084,0.925976,0.88931,0.939071,0.939071,0.845583,0.8906,9129,14837257,556.16,
E13,val,0.954358,0.928937,0.890693,0.939928,0.939928,0.84836,0.893136,9129,14837257,555.55,
E13b,val,0.95546,0.928741,0.891283,0.940219,0.940219,0.847984,0.892432,9129,14837257,568.09,
E16,val,0.95913,0.852375,0.822765,0.898446,0.898446,0.763924,0.827344,9129,14837387,413.59,
E18,val,0.946982,0.879183,0.83832,0.907627,0.907627,0.787556,0.847495,9129,14837257,444.68,
E16,val,0.95913,0.852377,0.822766,0.898447,0.898447,0.763926,0.827345,9129,14837387,192.81,
E17,val,0.953203,0.929128,0.889959,0.939359,0.939359,0.847572,0.89234,9129,14837257,542.37,
E16,val,0.95195,0.939771,0.898319,0.944367,0.944367,0.855342,0.897332,9129,14837387,294.79,
E12,val,0.95269,0.938997,0.898315,0.944387,0.944387,0.855961,0.898008,9129,14837257,235.28,
E19,val,0.949792,0.941446,0.897966,0.944169,0.944169,0.855632,0.89798,9129,14837257,579.67,
E20,val,0.952667,0.939551,0.898671,0.944515,0.944515,0.857166,0.898981,9129,14840393,546.52,
E0,val,0.949745,0.937745,0.894647,0.942303,0.942303,0.850801,0.894722,9129,14834121,572.95,
E1,val,0.949961,0.938152,0.895088,0.942661,0.942661,0.851175,0.894983,9129,14837257,572.24,
E2,val,0.949608,0.935557,0.892681,0.941199,0.941199,0.849228,0.893739,9129,14837257,556.7,
E5,val,0.951754,0.937755,0.896376,0.943296,0.943296,0.85406,0.897094,9129,14837257,552.39,
E5_OOF,val,0.950597,0.937359,0.894902,0.942473,0.942473,0.852474,0.896162,9129,14837257,568.02,
E6,val,0.952374,0.937537,0.896648,0.943409,0.943409,0.854163,0.896958,9129,14837257,550.36,
E8,val,0.950468,0.938815,0.8962,0.943151,0.943151,0.853123,0.896211,9129,14837257,545.17,
E13,val,0.952165,0.938163,0.897084,0.943659,0.943659,0.854943,0.897452,9129,14837257,583.39,
E13b,val,0.950811,0.939806,0.897309,0.943828,0.943828,0.854871,0.89751,9129,14837257,548.42,
E17,val,0.951074,0.937982,0.896054,0.943042,0.943042,0.853437,0.896274,9129,14837257,557.02,
E18,val,0.94918,0.870512,0.831986,0.900138,0.900138,0.780946,0.839741,9129,14837257,566.57,
E14,val,0.950589,0.938433,0.895917,0.943027,0.943027,0.853034,0.896021,9129,14837257,552.81,
E9,val,0.952306,0.93762,0.896805,0.943513,0.943513,0.85444,0.89737,9129,14837257,573.23,
E10,val,0.953114,0.93632,0.89615,0.94307,0.94307,0.85448,0.897532,9129,14837257,570.29,
E11,val,0.952233,0.939105,0.89795,0.944262,0.944262,0.855608,0.898137,9129,14837257,573.7,
E7,val,1.0,0.999999,0.999998,0.999999,0.999999,0.960124,0.960126,9129,14837257,554.06,
E21,val,0.95219,0.941535,0.900181,0.945432,0.945432,0.85762,0.899002,9129,14837257,564.23,
E22,val,0.951151,0.940515,0.898388,0.944433,0.944433,0.855416,0.897287,9129,14840393,553.13,
E23,val,0.95269,0.938998,0.898315,0.944387,0.944387,0.855961,0.898008,9129,14837257,583.92,
E24,val,0.952785,0.938705,0.898095,0.944223,0.944223,0.855726,0.897788,9129,14837257,531.76,
E25,val,0.95118,0.938396,0.89651,0.943379,0.943379,0.854144,0.897087,9129,14837257,534.76,
E26,val,0.951692,0.939632,0.897963,0.944205,0.944205,0.854835,0.89727,9129,14837257,530.14,
E28,val,0.952583,0.93978,0.89895,0.944785,0.944785,0.85651,0.898547,9129,14840393,495.91,
E29,val,0.952997,0.939168,0.898669,0.944582,0.944582,0.856577,0.898591,9129,14837257,525.87,
E0,val,0.949745,0.937744,0.894646,0.942303,0.942303,0.8508,0.894721,9129,14834121,541.59,
E5,val,0.951754,0.937755,0.896376,0.943296,0.943296,0.85406,0.897094,9129,14837257,558.41,
E6,val,0.952374,0.937537,0.896648,0.943409,0.943409,0.854163,0.896958,9129,14837257,562.59,
E12,val,0.95269,0.938998,0.898315,0.944387,0.944387,0.855961,0.898008,9129,14837257,552.18,
E20,val,0.952667,0.93955,0.89867,0.944515,0.944515,0.857166,0.898981,9129,14840393,543.48,
E30,val,0.953888,0.938061,0.89846,0.944423,0.944423,0.856182,0.898242,9129,14840393,554.05,
